true_index,pred_sales
7,0
19,3739
31,6262
45,4226
56,3792
57,5630
61,4707
63,8680
79,6167
81,10271
84,3052
86,8208
90,5446
96,5300
105,0
108,5304
124,10977
126,7644
133,7674
146,5960
151,0
160,8870
164,6835
167,9142
190,0
194,8290
206,12419
214,0
217,9907
220,9723
221,6655
225,4657
226,3334
232,7628
250,4208
264,6563
269,7277
271,7372
280,6751
281,0
284,4510
302,7386
323,5700
327,0
336,5218
351,4669
377,5468
382,4005
388,7389
392,0
402,0
408,5631
427,5870
466,0
469,0
472,0
477,0
508,4113
513,11231
516,6414
530,4918
558,3489
576,13472
588,7545
595,8425
600,5627
601,7970
609,5156
612,5851
615,6552
625,3860
632,0
645,5615
666,6142
668,6006
672,7655
699,18829
717,6485
737,4120
744,7446
747,16435
764,8428
775,5856
788,0
795,9011
802,8862
811,12997
840,10925
849,15185
859,6679
871,0
872,12073
881,3123
883,6454
890,4976
896,6045
902,0
905,14057
921,10758
967,10044
973,5507
1001,4612
1016,0
1021,7881
1026,5241
1030,7885
1044,5275
1063,6970
1067,7776
1075,7644
1086,0
1097,4446
1117,13875
1122,4845
1125,8978
1129,6745
1141,5360
1149,0
1151,4907
1159,5562
1173,6437
1184,0
1193,6384
1241,5254
1249,0
1250,6612
1261,0
1273,6973
1282,0
1296,6806
1309,2658
1332,5233
1336,6649
1357,5237
1372,8124
1374,5879
1378,10110
1379,3537
1384,7980
1394,4712
1398,2405
1399,4533
1403,8145
1409,11208
1424,3756
1430,6649
1432,3778
1448,5555
1451,10117
1452,5549
1467,0
1470,4940
1481,8355
1523,3470
1527,4675
1546,4095
1547,12080
1567,3566
1592,7523
1597,12155
1601,0
1603,7329
1640,4737
1646,0
1651,0
1652,11312
1670,0
1677,0
1691,5963
1704,2034
1707,10435
1718,5196
1721,6783
1733,0
1737,9238
1748,5346
1776,6430
1804,5654
1821,10863
1839,4982
1845,7535
1853,5368
1888,4994
1895,5446
1899,8232
1923,3661
1934,9400
1937,9726
1940,5260
1953,0
1968,2997
1975,0
1981,6535
1984,6440
1997,10282
2024,9902
2032,8308
2036,13421
2051,3699
2061,0
2082,5559
2093,0
2096,7313
2107,5212
2115,6812
2117,3347
2137,3002
2156,7299
2160,0
2186,7929
2188,6901
2204,8712
2217,5900
2224,4874
2228,9825
2233,10370
2246,2629
2254,10032
2275,8137
2281,6423
2287,9137
2300,8712
2305,7611
2306,5242
2313,3906
2315,5703
2320,3307
2322,4888
2324,3722
2328,8437
2335,6227
2340,3035
2352,0
2381,5744
2383,5206
2408,3565
2422,5011
2424,3578
2425,0
2428,3625
2435,5394
2456,7394
2471,0
2474,4501
2493,5328
2495,7247
2501,0
2511,4347
2519,3054
2522,8535
2526,8076
2527,9713
2539,6201
2550,8570
2562,0
2572,8473
2573,5838
2576,8249
2579,5098
2580,5038
2594,5470
2600,9246
2602,8470
2621,0
2641,0
2651,7532
2669,6324
2686,9092
2694,6284
2699,3610
2700,3920
2747,7861
2759,7840
2763,6665
2794,0
2797,0
2812,8206
2815,6370
2824,0
2829,6439
2830,9008
2852,5352
2855,9654
2858,0
2870,8742
2881,6760
2884,3779
2887,9381
2890,8347
2897,14570
2909,4334
2917,12632
2929,3269
2937,6292
2962,8855
2985,6861
2997,7844
3007,4088
3015,7225
3020,3419
3030,5239
3035,6787
3048,6675
3075,7818
3079,6022
3087,4141
3091,7488
3103,8043
3107,5686
3120,0
3126,7125
3127,13363
3131,6725
3142,7454
3143,0
3146,7737
3157,8928
3162,6341
3165,8851
3168,0
3170,0
3172,9175
3175,5596
3179,5461
3188,8771
3194,0
3200,5117
3209,4417
3231,11788
3235,3286
3238,7897
3276,10151
3283,0
3286,5335
3306,0
3328,10203
3340,5353
3347,0
3351,5767
3357,7645
3364,3891
3374,6426
3402,9568
3407,0
3420,7894
3434,5655
3436,6395
3442,8340
3448,5807
3456,4500
3467,5522
3473,4619
3486,9553
3496,3587
3509,6041
3517,5544
3519,7090
3521,4718
3534,1238
3539,3957
3551,8988
3556,3670
3559,9430
3573,6753
3600,7276
3602,2492
3617,5071
3635,8621
3641,6586
3648,8311
3676,0
3694,0
3707,6868
3708,3851
3716,10637
3734,0
3738,9514
3744,8750
3746,7648
3749,10796
3777,4103
3794,13468
3804,3920
3813,22146
3828,5597
3840,7888
3843,5589
3844,0
3856,9160
3864,7189
3865,4721
3891,6620
3893,6207
3896,4574
3910,5657
3920,6046
3922,5459
3929,0
3931,0
3932,3197
3941,3684
3946,3072
3966,5781
3975,7697
3977,0
3986,3587
3989,23476
3993,5609
3996,3739
4016,29598
4020,7295
4023,0
4031,9551
4040,5894
4041,0
4042,0
4052,6278
4067,0
4071,11189
4104,6267
4110,2635
4122,8547
4127,5057
4129,6484
4130,0
4162,3878
4180,4212
4181,7317
4190,3989
4195,0
4196,4304
4215,3892
4233,0
4236,0
4240,4656
4258,3784
4264,4725
4268,9258
4269,7234
4286,7258
4300,8353
4303,0
4320,12863
4323,7667
