song,artist
We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast"
Heat Waves,Glass Animals
Easy On Me,Adele
abcdefu,GAYLE
Stay,The Kid LAROI & Justin Bieber
Super Gremlin,Kodak Black
Shivers,Ed Sheeran
Ghost,Justin Bieber
Thats What I Want,Lil Nas X
Pushin P,Gunna & Future Featuring Young Thug
Surface Pressure,Jessica Darrow
Cold Heart (PNAU Remix),Elton John & Dua Lipa
Need To Know,Doja Cat
Bad Habits,Ed Sheeran
MAMIII,Becky G X Karol G
Levitating,Dua Lipa
Industry Baby,Lil Nas X & Jack Harlow
Save Your Tears,The Weeknd & Ariana Grande
Hrs And Hrs,Muni Long
Bussin,Nicki Minaj X Lil Baby
The Joker And The Queen,Ed Sheeran Featuring Taylor Swift
One Right Now,Post Malone & The Weeknd
Still D.R.E.,Dr. Dre Featuring Snoop Dogg
The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto Cast"
Big Energy,Latto
Woman,Doja Cat
Enemy,Imagine Dragons X JID
I Hate U,SZA
Oh My God,Adele
Good 4 U,Olivia Rodrigo
Knife Talk,Drake Featuring 21 Savage & Project Pat
Do We Have A Problem?,Nicki Minaj X Lil Baby
'Til You Can't,Cody Johnson
Worst Day,Future
Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak)
Love Nwantiti (Ah Ah Ah),CKay
The Next Episode,Dr. Dre Featuring Snoop Dogg
Sand In My Boots,Morgan Wallen
Buy Dirt,Jordan Davis Featuring Luke Bryan
Lose Yourself,Eminem
Fancy Like,Walker Hayes
What Else Can I Do?,Diane Guerrero & Stephanie Beatriz
Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole
You Should Probably Leave,Chris Stapleton
You Right,Doja Cat & The Weeknd
City Of Gods,"Fivio Foreign, Kanye West & Alicia Keys"
Essence,Wizkid Featuring Justin Bieber & Tems
Light Switch,Charlie Puth
Fingers Crossed,Lauren Spencer-Smith
Dos Oruguitas,Sebastian Yatra
To Be Loved By You,Parker McCollum
Better Days,NEIKED X Mae Muller X Polo G
Sacrifice,The Weeknd
One Mississippi,Kane Brown
23,Sam Hunt
Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney
Waiting On A Miracle,Stephanie Beatriz
Beers On Me,"Dierks Bentley, Breland & HARDY"
AA,Walker Hayes
Chosen,Blxst & Tyga Featuring Ty Dolla $ign
Heart On Fire,Eric Church
Doin' This,Luke Combs
P Power,Gunna Featuring Drake
Me Or Sum,"Nardo Wick, Lil Baby & Future"
Broadway Girls,Lil Durk Featuring Morgan Wallen
Freedom Was A Highway,Jimmie Allen & Brad Paisley
She's All I Wanna Be,Tate McRae
Don't Play That,King Von & 21 Savage
