Blabla,Something
46139,2997
199314,3583
116463,5001
151551,5284
500264,9105
205101,3715
252361,4704
500877,7444
454235,4668
355802,7822
322844,4256
24384,18100
327731,6509
136742,17947
226512,4929
78053,8214
566072,19346
597117,7884
542193,2442
169817,6009
295239,0
48723,7279
312335,9182
648494,0
362803,5892
367827,6773
675678,6434
365647,10451
204268,7571
709196,0
335602,7580
421853,7018
461439,4867
274656,4368
140009,6810
43853,6633
532204,16170
166371,3281
205967,4885
52673,0
406526,2726
84319,19434
396292,5176
561213,4440
190342,12082
348344,3906
693984,4816
572897,7027
338524,4859
46653,10450
242664,9633
617541,16373
324009,5899
209438,5781
585650,4240
268117,4125
80733,7360
18082,0
189341,7573
233401,9330
411048,17403
14109,9566
78159,0
467053,6293
610004,5897
297783,5067
150655,6088
5826,8124
386374,6887
22049,11408
627423,7974
175928,0
555326,5988
76275,0
32569,0
155749,8957
643526,9049
704297,11274
360737,9208
436762,6035
597904,0
287496,5616
131607,6732
424418,7211
212397,6956
152553,10455
279661,7459
699989,0
502709,8507
414860,0
443814,10097
378347,0
500246,6048
20702,0
349581,6548
15224,9252
702886,5573
344178,4160
626973,0
664268,5050
511586,11729
164606,5893
197709,3161
111345,12337
34169,4952
29693,12204
584941,10037
551583,7447
87161,7391
623312,5409
306631,5244
72830,7354
534540,11102
270643,5585
474442,0
197982,5667
275820,5606
100596,3720
198302,5676
205452,10834
560817,3917
84741,4085
666236,10346
367336,1729
681544,5173
642629,8836
130835,17668
27395,2956
557445,0
84776,8785
377165,4946
392283,5515
314832,11167
143214,7658
413157,7391
333699,0
66584,0
60997,9348
93188,4695
169401,3804
6486,7871
625525,4006
367062,5122
37014,2338
464522,3210
295154,6791
220469,10904
81692,0
270695,0
147642,4711
281398,10883
286851,8339
256410,7662
45042,9207
539024,0
292446,3322
309200,0
672845,5528
612919,11681
157635,4165
485353,4857
539032,9328
251619,27792
109961,7264
72105,0
106563,15966
105601,11715
328721,10473
127879,4091
202085,0
263224,4970
331016,6991
702817,7778
207674,3431
109166,6962
134856,5366
648140,6379
261954,0
25460,7090
105,0
696732,3339
509820,5140
669399,4130
166842,9350
32248,4172
211728,4563
224393,6008
519197,7247
214316,0
5395,0
96447,2679
105826,0
672458,2825
568590,7351
42698,0
510818,8574
75012,7484
538314,6701
64882,0
131976,5605
99472,4558
595226,5509
116546,4167
180748,10309
565960,14563
319187,13415
473202,0
405952,5538
610782,0
587862,4814
562521,5308
218187,4572
6104,17898
509175,6682
247149,7101
147024,11849
267584,6241
549688,0
341897,6795
187635,5864
546437,5726
492190,0
367226,7692
42140,0
399690,7684
46988,5983
603404,5063
625839,2701
570203,4042
362663,5883
11645,5389
549652,6433
88243,0
440216,4513
61946,4937
465808,7036
601083,6672
154925,4654
130273,6187
430717,8363
23701,0
502184,7435
410041,6399
230853,6648
636736,6145
383854,5626
212876,13914
515131,4144
244067,0
216667,4977
421848,5870
89430,5226
83853,0
350944,7244
632020,10051
271688,9890
423113,7254
696120,8341
457750,7940
365796,6584
291893,6346
614536,8215
490421,4530
56867,10291
437658,4677
37895,0
670817,15196
673883,7664
642168,7649
78732,0
73736,7943
545852,9937
663884,7153
423127,5514
635536,13916
261504,5224
147543,18220
57570,0
359077,0
289584,15319
585665,11147
556502,6809
225543,5523
385186,6132
370853,14763
401934,5632
478486,6377
535045,5795
355055,8327
103179,5811
74717,5848
567059,8617
495000,8887
625318,8126
119314,7955
228757,0
477659,4944
51200,4367
12489,5549
327378,7766
508840,6630
191538,7708
177383,0
213823,6790
561708,2228
156869,0
482606,6956
108925,7768
