Unnamed: 0,predictions
657904,0
474964,4
542889,0
679349,0
217294,0
223908,21
197076,43
358214,0
544300,0
646882,152
492319,0
336667,2
654595,309
106460,0
436778,0
165731,0
120984,0
178225,70
626137,111
26094,8
265843,83
511306,83
133494,0
257047,33
321463,32
50542,71
183473,0
206390,0
248055,0
359376,0
633749,0
40741,0
150763,32
701537,0
524681,16
578590,0
624827,20
43305,8
434684,0
615848,0
504722,43
479149,84
621646,0
562465,0
577307,0
127849,20
278363,59
275404,0
401532,68
269225,46
106722,77
619936,1
566212,0
102998,21
324353,93
633555,25
664798,160
606881,6
336356,0
22219,5577
448747,3205
705490,8074
139603,6196
158955,4619
496689,9908
201337,4769
6555,4279
420538,6753
538313,4265
52543,7951
665151,9606
651513,6479
576996,11642
449877,6444
454323,2991
314930,6631
280264,5288
126370,5972
236470,3966
464341,6107
132106,3644
601278,5094
483347,5671
568119,6679
3235,3699
449060,5474
476419,5542
505249,5844
297658,5963
203679,7280
657771,6095
694985,3269
587377,6062
207285,10440
317352,5585
144084,7576
441620,4405
157877,3224
107079,11787
90687,7428
123534,32
518533,7647
137256,4653
394444,6384
608886,3930
531461,4281
444474,5666
427809,5780
77187,4040
701980,4181
532334,9392
592334,8699
233437,9410
455145,14151
446228,5135
269133,6144
297296,4595
374998,5721
335527,10267
182579,8972
32610,7575
82267,3611
90887,6869
68581,7335
517749,6676
317650,5623
683102,5309
458514,7301
498280,4211
139298,7635
611786,3291
694274,5354
626919,5620
27375,5237
308797,2941
414242,16952
257338,7282
87238,7785
555381,5718
470687,3179
456556,5623
87293,4484
487736,5005
100305,6660
625610,3566
566038,7275
413939,4932
380736,7750
179268,6035
46151,6494
25672,6670
213303,2908
168814,5147
313107,6335
687830,3428
293167,3487
141244,5573
205275,3857
268598,12603
235833,3659
447693,2518
530053,3548
660560,7242
245290,4398
59935,5117
218211,5564
483421,5729
94825,2635
222812,5830
505393,6040
374374,9504
554571,4628
135127,5274
568183,4729
126675,3763
500668,4760
672409,7039
698457,6812
258475,6379
308575,2048
80236,7123
210180,3884
79618,1917
68166,2889
96436,3344
695761,3248
516921,2470
3179,5712
764,8391
19597,5558
255085,4800
475895,4378
56614,3666
247078,6625
450992,3507
190368,5613
263559,6949
684991,5099
296271,4526
131872,4011
116852,6469
257945,6854
326439,5294
151190,2510
95579,19810
546158,6488
639233,4913
172438,6168
313702,9158
388362,5827
590118,4872
356612,5683
60343,3831
372982,3328
459060,3703
488391,7205
81753,8296
417458,7175
471609,3820
582982,3530
449681,4169
646538,3655
602356,8715
198962,5819
681674,8587
266852,5418
64756,9254
4180,4209
710605,9457
44150,5536
132253,8489
108212,5598
585755,5375
75590,4780
581510,3383
308441,5685
540897,6631
449062,5938
111362,5047
89873,5818
486926,5285
65539,4644
656906,7368
64283,4198
659510,4175
631945,2607
229046,6713
38596,6987
340911,2096
249785,4554
65056,12009
262809,7992
214142,7200
600529,5580
120266,7282
528724,6184
657616,5750
356877,6680
433435,8564
497072,3392
604779,4557
329255,6081
508383,3310
632576,6573
519777,6341
649884,17361
260916,3692
96248,5477
448409,3915
90199,7838
413080,5242
134055,7279
155090,4985
527097,4623
543663,5933
543812,3695
491484,3593
416753,10216
304621,5767
248129,5680
501254,6501
694272,5760
297763,5193
330972,4794
71621,5311
620587,4992
535469,5846
339398,5319
282450,6113
152845,3971
302883,8126
426247,3739
656951,9552
124766,3903
65090,3322
398941,6968
525699,5224
703128,10620
234267,3874
228588,3290
430107,1439
23950,9163
28898,7137
231631,5805
533773,5170
573554,6349
137949,2872
109267,5880
402993,6729
438899,7478
301586,5252
520244,4751
535231,1404
147199,0
352632,6338
478945,2372
516026,8272
676954,2903
195945,6270
195475,2157
341389,9170
56026,16235
669500,2762
136517,5759
416810,7036
213986,8247
412881,7688
633333,4511
509482,8528
615717,4975
257752,3260
51801,10228
23041,4386
253182,8093
592851,3158
600096,14000
414209,3157
666364,5840
701594,7879
502797,3758
555699,6585
214757,7679
415199,4592
415379,2808
53063,4942
365352,6001
550834,7140
55294,6866
489925,6345
190189,4707
266706,5920
511903,4808
310091,7985
65743,5941
367169,5140
20421,8382
554958,2139
595806,3532
257938,6215
561464,4401
233627,2590
556184,5911
572168,2992
448518,11781
343783,3651
328483,6356
297503,3217
531703,6360
441342,1317
174741,0
514437,1
508936,0
587541,29
372291,0
39083,0
83203,0
508847,0
122153,0
488887,0
219927,0
98154,2
498785,14
41969,0
525707,0
129995,0
373359,1
58667,9
468196,16
261398,6163
620835,0
478120,0
697822,0
551819,5
484364,20
39992,0
401632,0
310978,0
505807,27
622007,8
592304,0
701865,0
646428,0
620240,33
463526,0
505939,0
181089,0
609810,2
151413,0
645554,19
341307,20
673396,0
551483,25
514864,4
192608,0
362449,2
495791,0
413333,0
334576,32
686591,0
570077,7
530358,0
615514,0
7119,16
326623,0
454343,18
599614,12
572981,0
545683,0
227328,12
516150,0
426071,0
634179,0
334890,12
209891,0
48385,0
564750,0
285947,24
404706,1
403692,0
136905,0
331538,12
368376,0
406711,0
173115,3
313569,5
599151,0
67727,8242
595487,7513
382403,6182
219215,13798
647709,10620
47840,11668
425700,11844
35199,7898
28606,11736
571758,6778
697015,7057
163482,13081
350463,6752
642854,9442
173855,10269
499750,8568
76463,10533
18603,9285
383231,9369
92431,6261
312977,11967
319622,6833
234115,8332
379651,12230
206720,11269
136008,6677
442391,7212
278710,6850
512159,9456
580437,11149
671815,9058
227141,5827
849,15473
709503,10776
103980,6327
638024,15098
556274,9266
146797,7459
258690,6746
243491,5765
199233,11307
238178,1691
601580,6476
307627,14047
569256,15603
512269,10997
405451,8687
636326,12466
547678,8847
562209,8816
36626,4012
692974,10667
611962,9466
292967,1654
373236,6516
678655,16035
63227,10011
690110,12981
607344,7663
614403,5398
359703,10557
408253,4941
127534,6260
313591,11941
577877,10915
116102,10127
450758,10809
230588,8098
261209,8821
579421,19468
602044,17258
665072,11713
601948,10841
175914,32623
346190,7842
692390,7352
209942,7012
314906,7666
52167,5742
297829,10212
505115,7805
575206,4424
480207,12277
105175,8265
291157,7905
26930,6598
38002,8504
685445,6894
124074,7013
333297,8347
580110,10282
287300,11765
614906,10360
20529,7381
98651,7243
13374,6054
453629,9921
237681,13305
241515,5165
85530,4526
243292,10693
105353,7819
450254,12284
662983,11386
30382,11825
109764,5648
516059,7037
434567,9176
662674,12966
403178,8003
423045,7435
533865,6020
203421,10636
645761,5115
578799,8567
520257,12321
130228,10621
155773,3878
82900,7915
659235,9164
516725,10119
414153,14595
428647,16543
285023,10353
32265,10080
92410,7610
607511,8842
268737,7202
708273,6314
648056,7505
642031,6478
175190,8607
331825,10267
62233,5723
123947,6545
22294,7445
697839,3856
48182,7810
657640,10934
357246,2092
573518,4959
344200,6716
3910,5470
30823,8549
280367,9593
564178,5534
178664,9914
142605,4838
478922,11737
191300,5103
644520,8439
609826,7422
51774,8841
340401,17095
253177,7582
237550,9905
92308,7351
209972,5450
291638,6278
393305,7511
663440,6479
612528,5170
243656,7526
187611,6622
38914,6601
542979,5649
397760,5837
188163,0
467935,5607
695562,5501
488969,7298
204749,4841
82585,5503
440313,6374
82408,5120
158501,17184
261353,7147
467903,5326
144670,7555
114412,8879
421336,8540
349160,4427
198886,4071
89825,5908
535226,5139
36852,5186
288346,5580
284326,13680
189818,11464
290410,5639
676879,6853
248284,14524
542793,5476
268111,5829
125607,6705
234270,17170
490014,5330
438155,7661
431544,16861
85263,8914
415400,12296
10046,9804
599363,7148
250564,7682
75825,6493
360873,8305
711651,7579
701985,10285
288724,4737
70440,6716
361130,9901
671840,6232
607956,6696
133,6943
58308,7213
2815,6532
551272,6372
604055,46
1122,5197
41367,6627
475184,11960
262628,7005
98838,5733
447370,7254
562252,5036
130792,9302
639253,12175
660966,7388
615688,19572
617796,6645
205218,7807
485154,9871
618950,7716
337897,5284
64803,6668
24909,6053
658047,5133
498519,7957
596234,10426
133934,9496
440505,11260
629418,4270
602238,8410
495743,8503
575620,4019
511168,0
432170,7245
272317,6247
155168,6019
569626,8021
602457,5885
399077,9256
557416,8347
57022,8493
283178,6739
321977,5857
310664,7578
193213,4536
407212,0
651435,3689
627657,6749
338317,3900
181472,5116
425559,5914
648130,6152
337663,5063
441913,16520
592233,9994
299064,8606
86856,7336
269130,3702
592602,5505
486538,6403
690523,4671
171991,7732
397995,4066
433461,8499
593458,6575
463232,6621
191745,5825
437758,4608
339596,5489
6691,6747
622226,10340
224611,6929
449010,7644
637233,5171
15066,4000
446181,18332
667403,7649
20504,6389
415853,7060
586168,7489
476671,10151
675035,7964
418666,9585
492628,12911
441155,5584
83270,4467
260645,5088
62499,5068
383230,5725
598117,7730
631686,7025
202783,8621
114467,5507
116534,7147
373209,5311
370333,20319
559827,6958
674184,5479
698939,7067
143401,4721
156098,6099
277733,6262
190264,6736
675882,4459
548079,8098
362542,8269
599692,6061
222913,6714
53030,8504
581638,6782
100172,6711
589029,4908
661988,9731
119763,6767
263393,9504
62350,7721
210957,7059
163142,9741
704960,6879
630713,7691
513421,10912
419236,8281
450461,5778
402768,6169
134738,7135
220149,4938
405753,4842
618903,4785
281766,10930
61428,8866
142669,6158
638524,7004
655768,9114
701749,1800
270756,8857
588216,6452
275212,6300
435166,5770
494943,9217
677909,2942
463166,5528
335495,9972
38401,7607
697689,20210
552466,5707
565995,11339
588628,8342
263616,5990
