True_index,pred_sales
7,0.0
19,3571.29
31,6449.97
45,3633.47
56,3764.46
57,6051.58
61,5620.5
63,6787.44
79,5200.41
81,9887.62
84,3149.83
86,6389.8
90,5093.4
96,5276.96
105,0.0
108,5682.96
124,14165.56
126,5903.77
133,6670.07
146,6434.92
151,0.0
160,8184.27
164,7252.38
167,11032.74
190,0.0
194,7285.16
206,11777.29
214,0.0
217,8609.47
220,9514.63
221,7451.13
225,6097.56
226,4596.79
232,8864.36
250,5166.46
264,6365.04
269,6572.53
271,6859.48
280,8517.54
281,0.0
284,4373.79
302,7667.38
323,5857.64
327,0.0
336,4855.67
351,4637.01
377,6150.87
382,4180.72
388,8197.48
392,0.0
402,0.0
408,6264.32
427,6585.28
466,0.0
469,0.0
472,0.0
477,0.0
508,6091.03
513,10247.33
516,6569.99
530,4832.35
558,3383.82
576,13562.07
588,7692.19
595,5990.09
600,4988.32
601,8839.23
609,4993.32
612,5091.53
615,7036.26
625,4886.36
632,0.0
645,5422.45
666,6384.87
668,6316.49
672,9847.33
699,16553.3
717,5546.63
737,5405.78
744,7773.01
747,15881.09
764,7486.12
775,6638.26
788,0.0
795,8601.45
802,8774.67
811,11315.8
840,9978.75
849,12818.28
859,7200.81
871,0.0
872,14344.74
881,4334.07
883,7496.04
890,5502.92
896,7052.11
902,0.0
905,9629.85
921,9124.45
967,9526.13
973,6232.77
1001,4283.84
1016,0.0
1021,8931.83
1026,4758.33
1030,7337.52
1044,5174.33
1063,9402.83
1067,8347.27
1075,9370.0
1086,0.0
1097,5437.85
1117,12358.19
1122,5081.82
1125,7907.79
1129,5620.46
1141,5804.79
1149,0.0
1151,4737.47
1159,6154.93
1173,6210.28
1184,0.0
1193,5364.43
1241,5657.17
1249,0.0
1250,7893.7
1261,0.0
1273,6471.79
1282,0.0
1296,7275.66
1309,2618.09
1332,5048.65
1336,7183.45
1357,5303.07
1372,6539.34
1374,5832.71
1378,9364.85
1379,4274.79
1384,8674.02
1394,6255.64
1398,2663.88
1399,4803.65
1403,7431.09
1409,10777.8
1424,4235.78
1430,6460.26
1432,4708.59
1448,6011.54
1451,10487.53
1452,7623.37
1467,0.0
1470,4945.86
1481,9799.13
1523,3147.48
1527,4738.43
1546,4784.9
1547,13403.61
1567,3755.35
1592,9117.55
1597,12265.87
1601,0.0
1603,9679.7
1640,5145.1
1646,0.0
1651,0.0
1652,10612.36
