True_index,prediction
7,100.0
19,4725.5956441645085
31,5181.668510669271
45,3534.563192514034
56,3567.92579717388
57,4796.437194044265
61,4329.502286529689
63,6805.493817815207
79,4585.8680813636865
81,7672.053909069887
84,2503.2315870682696
86,5294.789678404306
90,5241.0718898505365
96,6479.701039303927
105,1676.833849851425
108,5926.015456303151
124,10482.108606058933
126,5222.871784059235
133,5963.845679544192
146,5665.147273294497
151,100.0
160,7973.681750674402
164,8507.551520552577
167,9786.838457786856
190,1676.833849851425
194,6247.357240215298
206,8797.966043126147
214,1676.833849851425
217,7444.996153906527
220,8916.70608960617
221,12255.442961555083
225,5702.141236563506
226,5534.156847721749
232,8354.118517407129
250,4013.8403677462866
264,4699.57110428615
269,4906.520754856543
271,6496.879189450334
280,7596.9524793011
281,100.0
284,4621.579182526999
302,8096.899054493469
323,5714.468058825218
327,1103.1085666964982
336,4159.634632477542
351,5078.099474972874
377,6389.485376743929
382,4071.4620573998855
388,7214.5568392829255
392,1103.1085666964982
402,100.0
408,7009.076143735428
427,6486.55260763087
466,1019.0576657348945
469,1019.0576657348945
472,100.0
477,100.0
508,6710.903603825062
513,7062.112147353554
516,4711.704508147019
530,4329.301145400863
558,3220.07297692883
576,13458.173714187404
588,8907.049702642098
595,6322.751655509158
600,4906.520754856543
601,9400.813762850263
609,4975.400645034522
612,4864.14920007639
615,7362.634702510132
625,4700.252889221794
632,1676.833849851425
645,4314.130134617238
666,6817.820640076919
668,6112.9192356763815
672,9781.75234434452
699,15173.952796780213
717,6303.573264920503
737,5647.5409191896015
744,8773.582260172554
747,17451.585143657157
764,7686.146186216203
775,6267.180776065882
788,1019.0576657348945
795,9493.042772997382
802,9070.424448077338
811,9789.508893084498
840,9267.152901979876
849,10182.15467175315
859,6892.904661738076
871,1676.833849851425
872,12258.463160370211
881,4312.079324406915
883,7687.759589856762
890,5600.890568956521
896,7292.639097982056
902,1222.9712403930953
905,8825.61020191678
921,7481.3963654891295
967,8211.990380878495
973,6839.401908084125
1001,4202.878689659106
1016,1341.4753968680207
1021,9089.16773578697
1026,4688.21484409381
1030,7872.431083067418
1044,5476.79073631732
1063,8797.966043126147
1067,8687.787123580987
1075,8751.909444579473
1086,100.0
1097,4899.57112686164
1117,10988.832610100002
1122,5315.583776324262
1125,8654.842213692533
1129,5805.2751693808805
1141,4754.853206595698
1149,1103.1085666964982
1151,4622.268292946289
1159,6425.790229593648
1173,6738.953514981279
1184,1341.4753968680207
1193,5828.754807015363
1241,5774.154489641461
1249,1676.833849851425
1250,6913.716167765662
1261,1676.833849851425
1273,5915.739444251762
1282,1424.6688325061116
1296,6101.661035152002
1309,3110.776983448138
1332,5356.339226528778
1336,6144.127948665038
1357,4675.11087816357
1372,6377.3519728830615
1374,6182.674329190849
1378,9926.277243453951
1379,4779.215373050317
1384,8701.685982326457
1394,6786.065230833295
1398,3877.7538023124766
1399,5649.424184399992
1403,7882.681221717895
1409,9434.852770589838
1424,4694.474964425088
1430,5981.209525363461
1432,5046.937428076655
1448,6996.94273987456
1451,8624.275915754737
1452,5957.778977613758
1467,881.6696902781242
1470,5837.4155010744535
1481,8190.325288013396
1523,3313.1243160956606
1527,5300.85638033474
1546,5046.05489925652
1547,11514.877945891116
1567,4742.030295071206
1592,9222.82859665736
1597,10559.811750684356
1601,881.6696902781242
1603,8302.547295040898
1640,5952.682837752695
1646,928.1524955112714
1651,928.1524955112714
1652,10514.725714207056
1670,1341.4753968680207
1677,1089.3103795227073
1691,6523.739989300723
1704,3269.393762459551
1707,9473.614186015468
1718,6116.560233043394
1721,6719.564297884151
1733,100.0
1737,8784.854354467927
1748,4878.953039234899
1776,6377.3519728830615
1804,7817.830765693513
1821,7760.016831103637
1839,4384.87974757212
1845,6742.334677197186
1853,4875.3120418678855
1888,4023.1218603572593
1895,5515.33711684313
1899,6634.204264171604
1923,4001.699241157437
1934,9030.97773337943
1937,10042.427108952328
1940,5358.029073338324
1953,1103.1085666964982
1968,3055.3014627377456
1975,766.8926483895812
1981,6993.4662189257715
1984,5683.941130772204
1997,10411.902175022384
2024,9832.778081101675
2032,7774.744227093158
2036,11846.827763272813
2051,3772.0474938654215
2061,1019.0576657348945
2082,4912.587456786977
2093,100.0
2096,5872.008890615652
2107,6535.873393161591
2115,4560.036959886173
2117,4239.472319642553
2137,3540.629894444468
2156,8033.561599891488
2160,1676.833849851425
2186,8725.359038361788
2188,5075.706623973047
2204,7026.489079439478
2217,4872.266712217148
2224,4166.478478076503
2228,15540.548904734896
2233,9610.808743071393
2246,4263.545708963444
2254,10648.214773175572
2275,7906.0438841205205
2281,5798.421297363196
2287,13259.679805400265
2300,7141.661057384837
2305,8075.933154671643
2306,5880.863003075585
2313,3595.2302118183725
2315,5470.724034386886
2320,3834.8606821129674
2322,6332.195708508487
2324,6143.227614492939
2328,9738.304842343387
2335,7062.889291022081
2340,3723.8026555556803
2352,1341.4753968680207
2381,6658.914686687442
2383,5257.506540757235
2408,4068.4329623922085
2422,6812.347689832892
2424,4465.797682878083
2425,1103.1085666964982
2428,4156.395884425959
2435,4911.704530722507
2456,7414.7580029872415
2471,1341.4753968680207
2474,5251.4398388268
2493,4874.860704345801
2495,6671.249231677136
2501,1019.0576657348945
2511,2831.0269097125397
2519,3762.2536773486063
2522,6891.21481492853
2526,6272.411218024283
2527,9659.631135648593
2539,8301.47707331867
2550,8351.080910484368
2562,881.6696902781242
2572,6483.958615502214
2573,5646.75374910235
2576,7944.611881145306
2579,2691.2993469117177
2580,5509.463833313541
2594,5421.3074928789465
2600,7394.15732346813
2602,9629.104207595577
2621,1019.0576657348945
2641,1019.0576657348945
2651,7557.86291685696
2669,5828.659448282481
2686,10201.424999266681
2694,5891.898843216499
2699,8887.159750041252
2700,5612.830554416544
2747,5921.378766031155
2759,6971.79340333269
2763,5169.107726657363
2794,1424.6688325061116
2797,100.0
2812,10104.783975066213
2815,6500.73682170206
2824,928.1524955112714
2829,5955.1849854851025
2830,6622.070860310737
2852,6245.9353406238415
2855,7700.680163804881
2858,100.0
2870,9027.53015441326
2881,5883.259765656386
2884,3850.2251112974363
2887,6162.4234131892235
2890,7145.422544320344
2897,18367.64941242468
2909,4178.611881937371
2917,9482.532799195797
2929,4610.1348890854215
2937,5928.41603003096
2962,7280.319998448326
2985,8914.02054989164
2997,9225.11219515331
